libellé_du_département;année;tour;parti;tendance_politique;inscrits;abstentions;votants;exprimés;voix;%_voix/ins;%_voix/exp;taux_de_chômage;incidents_de_délinquance;pib;18-24_ans;25-34_ans;35-49_ans;50-64_ans;65_ans_et_plus;moyenne_du_parti_18-24_ans;moyenne_du_parti_25-34_ans;moyenne_du_parti_35-49_ans;moyenne_du_parti_50-64_ans;moyenne_du_parti_65_ans_et_plus
AIN;2022;2;La République en marche;Centre;438250;109568;328682;328682;166635;38,02281803;50,69793904;5,45;27221;28514;74051;72746;134750;131597;124779;24,3;19,3;26,6;28,1;37,5
AISNE;2022;2;La République en marche;Centre;373621;97965;275656;275656;102428;27,41494723;37,15790696;10,375;23597;24644;60806;54693;95598;104200;114880;24,3;19,3;26,6;28,1;37,5
ALLIER;2022;2;La République en marche;Centre;249954;62311;187643;187643;87645;35,06445186;46,70837708;7,625;13505;27292;34565;29379;54926;69663;96546;24,3;19,3;26,6;28,1;37,5
ALPESDEHAUTEPROVENCE;2022;2;La République en marche;Centre;128077;31907;96170;96170;41659;32,52652701;43,31808256;8,225;7821;28395;15633;14985;28493;36148;44800;24,3;19,3;26,6;28,1;37,5
HAUTESALPES;2022;2;La République en marche;Centre;113540;27296;86244;86244;42213;37,17896776;48,94601364;6,775;6025;28286;13043;13023;24942;30559;36844;24,3;19,3;26,6;28,1;37,5
ALPESMARITIMES;2022;2;La République en marche;Centre;778703;217148;561555;561555;261989;33,64427773;46,65420128;7,375;69128;38163;117058;115854;202654;221093;277911;24,3;19,3;26,6;28,1;37,5
ARDECHE;2022;2;La République en marche;Centre;255891;62124;193767;193767;90053;35,19193719;46,47488995;8,05;12952;25235;32531;29195;58657;71148;87395;24,3;19,3;26,6;28,1;37,5
ARDENNES;2022;2;La République en marche;Centre;186220;48099;138121;138121;55093;29,58489958;39,88748995;9,375;11939;25834;28762;27417;47891;55910;60197;24,3;19,3;26,6;28,1;37,5
ARIEGE;2022;2;La République en marche;Centre;119047;29751;89296;89296;39298;33,01049165;44,0086902;9,4;6414;23551;15293;13647;27212;32975;41624;24,3;19,3;26,6;28,1;37,5
AUBE;2022;2;La République en marche;Centre;205599;51298;154301;154301;68840;33,48265313;44,61409842;9,5;15324;29745;38452;33663;55626;58886;69962;24,3;19,3;26,6;28,1;37,5
AUDE;2022;2;La République en marche;Centre;279959;68610;211349;211349;85465;30,52768441;40,43785398;10,05;16453;25206;37656;34409;65055;78964;103720;24,3;19,3;26,6;28,1;37,5
AVEYRON;2022;2;La République en marche;Centre;219480;49491;169989;169989;89955;40,98551121;52,91813;5,675;8088;28984;27367;25273;47690;58989;79956;24,3;19,3;26,6;28,1;37,5
BOUCHESDURHONE;2022;2;La République en marche;Centre;1411580;410707;1000873;1000873;481129;34,08443021;48,07093407;8,75;158111;42891;245731;240862;386332;393178;439484;24,3;19,3;26,6;28,1;37,5
CALVADOS;2022;2;La République en marche;Centre;512204;116324;395880;395880;218579;42,67420793;55,21344852;6,375;27671;31592;88947;75800;125057;133557;160641;24,3;19,3;26,6;28,1;37,5
CANTAL;2022;2;La République en marche;Centre;115741;25815;89926;89926;45015;38,89287288;50,05782532;4,025;4145;26313;13278;12280;24577;31902;41190;24,3;19,3;26,6;28,1;37,5
CHARENTE;2022;2;La République en marche;Centre;257508;64403;193105;193105;95656;37,14680709;49,5357448;6,9;15746;34389;35818;33915;60848;74377;92938;24,3;19,3;26,6;28,1;37,5
CHARENTEMARITIME;2022;2;La République en marche;Centre;518929;126022;392907;392907;201159;38,76426255;51,19761165;6,925;29002;29264;67355;57603;113309;137197;193068;24,3;19,3;26,6;28,1;37,5
CHER;2022;2;La République en marche;Centre;224457;60255;164202;164202;77739;34,63425066;47,34351591;7,45;11394;29042;30167;28549;49996;62739;80877;24,3;19,3;26,6;28,1;37,5
CORREZE;2022;2;La République en marche;Centre;185031;42851;142180;142180;68272;36,89760094;48,01800535;6,05;8478;28873;24152;21064;40411;50159;68327;24,3;19,3;26,6;28,1;37,5
COTEDOR;2022;2;La République en marche;Centre;366828;89553;277275;277275;144545;39,40402586;52,13055631;5,625;22358;38762;71365;62695;96313;102742;118222;24,3;19,3;26,6;28,1;37,5
COTESDARMOR;2022;2;La République en marche;Centre;471760;100204;371556;371556;209721;44,4550195;56,44398153;6,275;20255;29043;63331;52861;104033;124909;164540;24,3;19,3;26,6;28,1;37,5
CREUSE;2022;2;La République en marche;Centre;90958;23479;67479;67479;30554;33,59132787;45,27927207;6,95;4117;23192;10190;9244;17960;26056;35306;24,3;19,3;26,6;28,1;37,5
DORDOGNE;2022;2;La République en marche;Centre;318129;72606;245523;245523;111182;34,94871577;45,28374124;7,225;14408;25325;37028;34631;67508;91544;125077;24,3;19,3;26,6;28,1;37,5
DOUBS;2022;2;La République en marche;Centre;368437;95455;272982;272982;141917;38,51866126;51,98767684;6,525;24466;30718;69425;64616;102486;101875;111912;24,3;19,3;26,6;28,1;37,5
DROME;2022;2;La République en marche;Centre;382280;96584;285696;285696;143697;37,58946322;50,29716902;7,825;26397;36594;56872;53590;95879;103546;120522;24,3;19,3;26,6;28,1;37,5
EURE;2022;2;La République en marche;Centre;432273;104821;327452;327452;146751;33,94868521;44,81603411;7,05;25122;26893;65974;61243;115438;119416;122271;24,3;19,3;26,6;28,1;37,5
EUREETLOIR;2022;2;La République en marche;Centre;304007;79606;224401;224401;109744;36,09916877;48,90530791;6,725;16016;28912;47144;43119;81786;85351;91970;24,3;19,3;26,6;28,1;37,5
FINISTERE;2022;2;La République en marche;Centre;709818;161974;547844;547844;332396;46,82834191;60,67347639;6,125;33535;31679;105414;90787;165591;189561;227862;24,3;19,3;26,6;28,1;37,5
GARD;2022;2;La République en marche;Centre;555277;146848;408429;408429;177669;31,99646303;43,50058394;9,925;36238;27640;83657;72248;134253;156197;184628;24,3;19,3;26,6;28,1;37,5
HAUTEGARONNE;2022;2;La République en marche;Centre;930579;223557;707022;707022;409622;44,01797161;57,93624527;7,425;87144;43037;196948;204214;290369;259794;251409;24,3;19,3;26,6;28,1;37,5
GERS;2022;2;La République en marche;Centre;147268;30993;116275;116275;55559;37,72645789;47,78241238;5,675;6248;24635;17954;15539;32346;43164;54756;24,3;19,3;26,6;28,1;37,5
GIRONDE;2022;2;La République en marche;Centre;1158551;288844;869707;869707;484771;41,84287097;55,73957666;6,55;96510;39671;210682;207580;330585;310564;336258;24,3;19,3;26,6;28,1;37,5
HERAULT;2022;2;La République en marche;Centre;847479;225798;621681;621681;297066;35,05290397;47,78431382;10,1;72342;33124;154125;143096;222417;226200;272040;24,3;19,3;26,6;28,1;37,5
ILLEETVILAINE;2022;2;La République en marche;Centre;771870;169031;602839;602839;390330;50,5693964;64,74863106;5,4;43547;38731;150107;134803;214259;201598;209327;24,3;19,3;26,6;28,1;37,5
INDRE;2022;2;La République en marche;Centre;166057;41208;124849;124849;57558;34,6615921;46,10209133;7,125;8574;26781;20955;19022;34891;46716;63661;24,3;19,3;26,6;28,1;37,5
INDREETLOIRE;2022;2;La République en marche;Centre;440750;108984;331766;331766;188421;42,75008508;56,7933423;6,475;29761;34428;77078;68290;111713;117954;139374;24,3;19,3;26,6;28,1;37,5
ISERE;2022;2;La République en marche;Centre;885672;229398;656274;656274;359596;40,60148678;54,79357707;5,9;73067;37121;163509;145786;247797;245679;248660;24,3;19,3;26,6;28,1;37,5
JURA;2022;2;La République en marche;Centre;190644;45869;144775;144775;68846;36,11233503;47,55379036;5,1;9014;29254;27142;24660;45791;53944;64073;24,3;19,3;26,6;28,1;37,5
LANDES;2022;2;La République en marche;Centre;329376;73120;256256;256256;128363;38,97157048;50,09170517;6,875;16265;27946;40136;37900;78570;90598;113276;24,3;19,3;26,6;28,1;37,5
LOIRETCHER;2022;2;La République en marche;Centre;244640;58413;186227;186227;91360;37,34466972;49,05840721;5,975;12288;29269;33297;30511;57164;67817;84837;24,3;19,3;26,6;28,1;37,5
LOIRE;2022;2;La République en marche;Centre;513962;136870;377092;377092;194879;37,91700554;51,67943101;7,125;36044;30682;93472;79920;137243;145024;178372;24,3;19,3;26,6;28,1;37,5
HAUTELOIRE;2022;2;La République en marche;Centre;180716;41139;139577;139577;62372;34,51382279;44,68644547;5,6;8195;26151;23906;20766;40002;48287;57051;24,3;19,3;26,6;28,1;37,5
LOIREATLANTIQUE;2022;2;La République en marche;Centre;1057081;255271;801810;801810;505179;47,78999906;63,00482658;5,7;83328;40013;186579;178576;292411;269223;284053;24,3;19,3;26,6;28,1;37,5
LOIRET;2022;2;La République en marche;Centre;457763;115792;341971;341971;180882;39,51433384;52,89395884;7,075;31666;35512;81981;75614;127236;129397;144373;24,3;19,3;26,6;28,1;37,5
LOT;2022;2;La République en marche;Centre;139238;31406;107832;107832;55130;39,59407633;51,12582536;7,3;5991;27592;14932;14525;28357;38958;53568;24,3;19,3;26,6;28,1;37,5
LOTETGARONNE;2022;2;La République en marche;Centre;241312;58106;183206;183206;81013;33,57189033;44,21962163;7,425;13940;27852;33327;29763;55800;68420;90618;24,3;19,3;26,6;28,1;37,5
LOZERE;2022;2;La République en marche;Centre;59801;13099;46702;46702;22067;36,90072072;47,25065308;4,625;2465;27946;7863;7073;13346;16640;19768;24,3;19,3;26,6;28,1;37,5
MAINEETLOIRE;2022;2;La République en marche;Centre;589468;138502;450966;450966;274813;46,62051205;60,93874039;6,45;30023;31583;110347;88697;150980;153397;175654;24,3;19,3;26,6;28,1;37,5
MANCHE;2022;2;La République en marche;Centre;384662;91046;293616;293616;159815;41,54686452;54,4299357;5,075;15348;29811;49789;48042;85135;104232;128082;24,3;19,3;26,6;28,1;37,5
MARNE;2022;2;La République en marche;Centre;380766;99374;281392;281392;136025;35,72404049;48,3400381;7,1;29170;36958;73719;66976;103557;106962;116093;24,3;19,3;26,6;28,1;37,5
HAUTEMARNE;2022;2;La République en marche;Centre;129397;32607;96790;96790;38230;29,54473442;39,49788201;6,275;7176;28140;17304;17220;28406;35752;43892;24,3;19,3;26,6;28,1;37,5
MAYENNE;2022;2;La République en marche;Centre;224819;51035;173784;173784;102263;45,48681384;58,84488791;4,975;10024;33636;35525;30009;54868;60452;70148;24,3;19,3;26,6;28,1;37,5
MEURTHEETMOSELLE;2022;2;La République en marche;Centre;492287;133308;358979;358979;179237;36,40904594;49,92966162;7;35003;29709;99729;88308;135347;138301;149244;24,3;19,3;26,6;28,1;37,5
MEUSE;2022;2;La République en marche;Centre;134802;32475;102327;102327;41930;31,10487975;40,97647737;7,2;7939;24473;19122;17722;32187;37527;43531;24,3;19,3;26,6;28,1;37,5
MORBIHAN;2022;2;La République en marche;Centre;609316;135060;474256;474256;269755;44,2717736;56,87961776;5,775;28808;30893;80879;69191;137729;161421;200950;24,3;19,3;26,6;28,1;37,5
MOSELLE;2022;2;La République en marche;Centre;746147;212882;533265;533265;249556;33,44595636;46,79774596;7,175;40994;27670;115939;121985;201305;218147;221156;24,3;19,3;26,6;28,1;37,5
NIEVRE;2022;2;La République en marche;Centre;154239;41089;113150;113150;50556;32,77770214;44,68051259;6,65;7812;26220;19135;16610;31824;42490;61856;24,3;19,3;26,6;28,1;37,5
NORD;2022;2;La République en marche;Centre;1814746;521129;1293617;1293617;633569;34,91226871;48,97655179;9,25;153002;34613;356817;321674;496530;469965;472851;24,3;19,3;26,6;28,1;37,5
OISE;2022;2;La République en marche;Centre;564184;145130;419054;419054;182791;32,39918183;43,61991533;7,375;40038;28827;99587;94508;164156;161077;149877;24,3;19,3;26,6;28,1;37,5
ORNE;2022;2;La République en marche;Centre;205553;48758;156795;156795;79275;38,56669569;50,55964795;6,575;11262;26511;28857;24532;45498;57356;75222;24,3;19,3;26,6;28,1;37,5
PASDECALAIS;2022;2;La République en marche;Centre;1093839;273743;820096;820096;323661;29,58945512;39,46623322;8,25;66908;26210;177478;158158;275634;281987;294510;24,3;19,3;26,6;28,1;37,5
PUYDEDOME;2022;2;La République en marche;Centre;468144;116492;351652;351652;188468;40,25855292;53,59503145;6,3;27582;35902;84047;73761;122960;129009;150689;24,3;19,3;26,6;28,1;37,5
PYRENEESATLANTIQUES;2022;2;La République en marche;Centre;519954;124853;395101;395101;219719;42,257392;55,61084381;5,725;24815;34096;72617;69762;127516;144652;174858;24,3;19,3;26,6;28,1;37,5
HAUTESPYRENEES;2022;2;La République en marche;Centre;177443;43422;134021;134021;65085;36,67938437;48,56328486;7,9;8864;26797;24059;21573;38696;49292;64168;24,3;19,3;26,6;28,1;37,5
PYRENEESORIENTALES;2022;2;La République en marche;Centre;362124;94558;267566;267566;105893;29,24219328;39,57640358;11,65;28264;26234;50085;45171;84687;99664;131711;24,3;19,3;26,6;28,1;37,5
BASRHIN;2022;2;La République en marche;Centre;778994;197584;581410;581410;319370;40,99774838;54,93025576;6,2;50041;37740;145127;144727;220146;231962;228550;24,3;19,3;26,6;28,1;37,5
HAUTRHIN;2022;2;La République en marche;Centre;531918;141261;390657;390657;191814;36,0608214;49,1003617;6,875;31136;31501;84749;84299;146600;160595;162245;24,3;19,3;26,6;28,1;37,5
RHONE;2022;2;La République en marche;Centre;1181791;315207;866584;866584;550592;46,58962541;63,5359065;6,35;141213;55237;267034;266524;368087;322941;333802;24,3;19,3;26,6;28,1;37,5
HAUTESAONE;2022;2;La République en marche;Centre;177724;40527;137197;137197;53098;29,87666269;38,70201243;6,375;7546;24012;24490;21634;42220;49697;55335;24,3;19,3;26,6;28,1;37,5
SAONEETLOIRE;2022;2;La République en marche;Centre;402996;102315;300681;300681;144990;35,9780246;48,22053938;6,375;20427;29418;56032;49475;93829;114865;148257;24,3;19,3;26,6;28,1;37,5
SARTHE;2022;2;La République en marche;Centre;411271;103599;307672;307672;154909;37,66591858;50,34874802;7,125;24460;28983;67499;57321;100687;111445;131160;24,3;19,3;26,6;28,1;37,5
SAVOIE;2022;2;La République en marche;Centre;320730;79968;240762;240762;125676;39,18436068;52,19926733;5,275;18227;36918;49032;48312;85886;90368;95244;24,3;19,3;26,6;28,1;37,5
HAUTESAVOIE;2022;2;La République en marche;Centre;565833;147179;418654;418654;236764;41,84344144;56,55362185;5,425;38845;31857;90937;107813;181520;162307;150679;24,3;19,3;26,6;28,1;37,5
PARIS;2022;2;La République en marche;Centre;1368623;354494;1014129;1014129;808107;59,04525936;79,68483299;5,725;261729;127132;268930;395141;423642;369986;376425;24,3;19,3;26,6;28,1;37,5
SEINEMARITIME;2022;2;La République en marche;Centre;879653;222738;656915;656915;332146;37,7587526;50,56148817;7,85;58782;35060;157564;145224;227348;237242;266549;24,3;19,3;26,6;28,1;37,5
SEINEETMARNE;2022;2;La République en marche;Centre;899809;266519;633290;633290;328698;36,52975243;51,90323548;6,725;77245;31759;185660;175094;294153;269887;228135;24,3;19,3;26,6;28,1;37,5
YVELINES;2022;2;La République en marche;Centre;961628;254934;706694;706694;464913;48,34644998;65,78703088;6,425;74650;43427;180255;167147;295017;275161;250788;24,3;19,3;26,6;28,1;37,5
DEUXSEVRES;2022;2;La République en marche;Centre;273265;64482;208783;208783;117804;43,10980184;56,42413415;5,275;12824;33964;39486;35183;68591;78052;90478;24,3;19,3;26,6;28,1;37,5
SOMME;2022;2;La République en marche;Centre;409946;98487;311459;311459;140763;34,33696145;45,19471263;8,675;24651;30463;75724;63817;102773;108319;119862;24,3;19,3;26,6;28,1;37,5
TARN;2022;2;La République en marche;Centre;298180;71489;226691;226691;106768;35,8065598;47,09847325;7,8;15039;26510;41488;35385;69405;81740;103875;24,3;19,3;26,6;28,1;37,5
TARNETGARONNE;2022;2;La République en marche;Centre;188728;43807;144921;144921;62503;33,1180323;43,12901512;8,575;9132;25847;28437;25163;50331;53160;60785;24,3;19,3;26,6;28,1;37,5
VAR;2022;2;La République en marche;Centre;821141;214221;606920;606920;252720;30,77668756;41,63975483;7,375;62667;28968;109610;107168;193851;223039;300885;24,3;19,3;26,6;28,1;37,5
VAUCLUSE;2022;2;La République en marche;Centre;411727;106789;304938;304938;134476;32,661448;44,09945628;9,5;30787;34561;59613;58101;102165;113272;131258;24,3;19,3;26,6;28,1;37,5
VENDEE;2022;2;La République en marche;Centre;551209;120713;430496;430496;244494;44,3559521;56,79355906;5,2;23186;32219;72977;63818;127103;140495;184162;24,3;19,3;26,6;28,1;37,5
VIENNE;2022;2;La République en marche;Centre;306076;76152;229924;229924;125138;40,88461689;54,42581027;5,875;18089;30737;58643;48184;78203;82986;100888;24,3;19,3;26,6;28,1;37,5
HAUTEVIENNE;2022;2;La République en marche;Centre;263777;64447;199330;199330;103329;39,17286193;51,83815783;6,525;14747;29909;43822;37727;63837;74115;95931;24,3;19,3;26,6;28,1;37,5
VOSGES;2022;2;La République en marche;Centre;277925;67785;210140;210140;91542;32,93766304;43,56238698;7,45;13597;27627;37469;34327;61811;76946;91838;24,3;19,3;26,6;28,1;37,5
YONNE;2022;2;La République en marche;Centre;237966;61722;176244;176244;78038;32,79376045;44,27838678;6,7;16916;27505;33195;31260;58590;68608;84705;24,3;19,3;26,6;28,1;37,5
TERRITOIREDEBELFORT;2022;2;La République en marche;Centre;93723;25006;68717;68717;31987;34,1292959;46,54888892;8,25;3075;28994;17318;15170;25483;27413;28837;24,3;19,3;26,6;28,1;37,5
ESSONNE;2022;2;La République en marche;Centre;799860;234023;565837;565837;338569;42,32853249;59,83507618;6,375;70077;47039;170437;165113;260706;241592;208713;24,3;19,3;26,6;28,1;37,5
HAUTSDESEINE;2022;2;La République en marche;Centre;998191;257547;740644;740644;552124;55,31246024;74,54647577;5,925;116242;122840;201667;234010;350434;292719;258251;24,3;19,3;26,6;28,1;37,5
SEINESAINTDENIS;2022;2;La République en marche;Centre;794364;308171;486193;486193;326057;41,04629616;67,06328557;10,225;147167;41976;224269;236948;354821;277263;212251;24,3;19,3;26,6;28,1;37,5
VALDEMARNE;2022;2;La République en marche;Centre;796782;245481;551301;551301;376204;47,21542404;68,23931029;7,175;92745;42043;183719;199631;290551;255586;221028;24,3;19,3;26,6;28,1;37,5
VALDOISE;2022;2;La République en marche;Centre;733876;238978;494898;494898;299829;40,85553963;60,58399913;8,075;81794;32252;166061;160812;258531;224969;183779;24,3;19,3;26,6;28,1;37,5
AIN;2022;2;Rassemblement national;Extrême Droite;438250;109568;328682;328682;136370;31,11694238;41,48995077;5,45;27221;28514;74051;72746;134750;131597;124779;18;20;28,8;27;18,1
AISNE;2022;2;Rassemblement national;Extrême Droite;373621;97965;275656;275656;153069;40,96905688;55,52899266;10,375;23597;24644;60806;54693;95598;104200;114880;18;20;28,8;27;18,1
ALLIER;2022;2;Rassemblement national;Extrême Droite;249954;62311;187643;187643;79762;31,91067156;42,50731442;7,625;13505;27292;34565;29379;54926;69663;96546;18;20;28,8;27;18,1
ALPESDEHAUTEPROVENCE;2022;2;Rassemblement national;Extrême Droite;128077;31907;96170;96170;44139;34,46286218;45,89684933;8,225;7821;28395;15633;14985;28493;36148;44800;18;20;28,8;27;18,1
HAUTESALPES;2022;2;Rassemblement national;Extrême Droite;113540;27296;86244;86244;34446;30,3382068;39,94016975;6,775;6025;28286;13043;13023;24942;30559;36844;18;20;28,8;27;18,1
ALPESMARITIMES;2022;2;Rassemblement national;Extrême Droite;778703;217148;561555;561555;260629;33,46962834;46,41201663;7,375;69128;38163;117058;115854;202654;221093;277911;18;20;28,8;27;18,1
ARDECHE;2022;2;Rassemblement national;Extrême Droite;255891;62124;193767;193767;81705;31,92961065;42,1666228;8,05;12952;25235;32531;29195;58657;71148;87395;18;20;28,8;27;18,1
ARDENNES;2022;2;Rassemblement national;Extrême Droite;186220;48099;138121;138121;72040;38,68542584;52,15716654;9,375;11939;25834;28762;27417;47891;55910;60197;18;20;28,8;27;18,1
ARIEGE;2022;2;Rassemblement national;Extrême Droite;119047;29751;89296;89296;37616;31,59760431;42,12506719;9,4;6414;23551;15293;13647;27212;32975;41624;18;20;28,8;27;18,1
AUBE;2022;2;Rassemblement national;Extrême Droite;205599;51298;154301;154301;73625;35,80999908;47,71518007;9,5;15324;29745;38452;33663;55626;58886;69962;18;20;28,8;27;18,1
AUDE;2022;2;Rassemblement national;Extrême Droite;279959;68610;211349;211349;104038;37,16187013;49,22568832;10,05;16453;25206;37656;34409;65055;78964;103720;18;20;28,8;27;18,1
AVEYRON;2022;2;Rassemblement national;Extrême Droite;219480;49491;169989;169989;59790;27,24166211;35,17286413;5,675;8088;28984;27367;25273;47690;58989;79956;18;20;28,8;27;18,1
BOUCHESDURHONE;2022;2;Rassemblement national;Extrême Droite;1411580;410707;1000873;1000873;442759;31,36619958;44,23728085;8,75;158111;42891;245731;240862;386332;393178;439484;18;20;28,8;27;18,1
CALVADOS;2022;2;Rassemblement national;Extrême Droite;512204;116324;395880;395880;143960;28,10598902;36,36455492;6,375;27671;31592;88947;75800;125057;133557;160641;18;20;28,8;27;18,1
CANTAL;2022;2;Rassemblement national;Extrême Droite;115741;25815;89926;89926;35261;30,46543576;39,21112915;4,025;4145;26313;13278;12280;24577;31902;41190;18;20;28,8;27;18,1
CHARENTE;2022;2;Rassemblement national;Extrême Droite;257508;64403;193105;193105;78087;30,32410644;40,43758577;6,9;15746;34389;35818;33915;60848;74377;92938;18;20;28,8;27;18,1
CHARENTEMARITIME;2022;2;Rassemblement national;Extrême Droite;518929;126022;392907;392907;156020;30,06577008;39,70914237;6,925;29002;29264;67355;57603;113309;137197;193068;18;20;28,8;27;18,1
CHER;2022;2;Rassemblement national;Extrême Droite;224457;60255;164202;164202;70160;31,25765737;42,72785959;7,45;11394;29042;30167;28549;49996;62739;80877;18;20;28,8;27;18,1
CORREZE;2022;2;Rassemblement national;Extrême Droite;185031;42851;142180;142180;54131;29,25509779;38,07216205;6,05;8478;28873;24152;21064;40411;50159;68327;18;20;28,8;27;18,1
COTEDOR;2022;2;Rassemblement national;Extrême Droite;366828;89553;277275;277275;107866;29,40506177;38,90217293;5,625;22358;38762;71365;62695;96313;102742;118222;18;20;28,8;27;18,1
COTESDARMOR;2022;2;Rassemblement national;Extrême Droite;471760;100204;371556;371556;123689;26,21862812;33,28946377;6,275;20255;29043;63331;52861;104033;124909;164540;18;20;28,8;27;18,1
CREUSE;2022;2;Rassemblement national;Extrême Droite;90958;23479;67479;67479;28153;30,95164801;41,72112805;6,95;4117;23192;10190;9244;17960;26056;35306;18;20;28,8;27;18,1
DORDOGNE;2022;2;Rassemblement national;Extrême Droite;318129;72606;245523;245523;104687;32,90709115;42,63836789;7,225;14408;25325;37028;34631;67508;91544;125077;18;20;28,8;27;18,1
DOUBS;2022;2;Rassemblement national;Extrême Droite;368437;95455;272982;272982;106348;28,86463629;38,95788001;6,525;24466;30718;69425;64616;102486;101875;111912;18;20;28,8;27;18,1
DROME;2022;2;Rassemblement national;Extrême Droite;382280;96584;285696;285696;114217;29,87783823;39,97850862;7,825;26397;36594;56872;53590;95879;103546;120522;18;20;28,8;27;18,1
EURE;2022;2;Rassemblement national;Extrême Droite;432273;104821;327452;327452;155086;35,87686485;47,36144534;7,05;25122;26893;65974;61243;115438;119416;122271;18;20;28,8;27;18,1
EUREETLOIR;2022;2;Rassemblement national;Extrême Droite;304007;79606;224401;224401;96185;31,6390741;42,86299972;6,725;16016;28912;47144;43119;81786;85351;91970;18;20;28,8;27;18,1
FINISTERE;2022;2;Rassemblement national;Extrême Droite;709818;161974;547844;547844;160073;22,55127371;29,2187192;6,125;33535;31679;105414;90787;165591;189561;227862;18;20;28,8;27;18,1
GARD;2022;2;Rassemblement national;Extrême Droite;555277;146848;408429;408429;193666;34,87736751;47,41729897;9,925;36238;27640;83657;72248;134253;156197;184628;18;20;28,8;27;18,1
HAUTEGARONNE;2022;2;Rassemblement national;Extrême Droite;930579;223557;707022;707022;226250;24,3128203;32,00041866;7,425;87144;43037;196948;204214;290369;259794;251409;18;20;28,8;27;18,1
GERS;2022;2;Rassemblement national;Extrême Droite;147268;30993;116275;116275;44188;30,00516066;38,00301011;5,675;6248;24635;17954;15539;32346;43164;54756;18;20;28,8;27;18,1
GIRONDE;2022;2;Rassemblement national;Extrême Droite;1158551;288844;869707;869707;305112;26,33565549;35,08215985;6,55;96510;39671;210682;207580;330585;310564;336258;18;20;28,8;27;18,1
HERAULT;2022;2;Rassemblement national;Extrême Droite;847479;225798;621681;621681;267908;31,61234674;43,09412705;10,1;72342;33124;154125;143096;222417;226200;272040;18;20;28,8;27;18,1
ILLEETVILAINE;2022;2;Rassemblement national;Extrême Droite;771870;169031;602839;602839;159930;20,71981033;26,52947138;5,4;43547;38731;150107;134803;214259;201598;209327;18;20;28,8;27;18,1
INDRE;2022;2;Rassemblement national;Extrême Droite;166057;41208;124849;124849;54429;32,77729936;43,5958638;7,125;8574;26781;20955;19022;34891;46716;63661;18;20;28,8;27;18,1
INDREETLOIRE;2022;2;Rassemblement national;Extrême Droite;440750;108984;331766;331766;112019;25,41554169;33,76446049;6,475;29761;34428;77078;68290;111713;117954;139374;18;20;28,8;27;18,1
ISERE;2022;2;Rassemblement national;Extrême Droite;885672;229398;656274;656274;241584;27,27691516;36,81145375;5,9;73067;37121;163509;145786;247797;245679;248660;18;20;28,8;27;18,1
JURA;2022;2;Rassemblement national;Extrême Droite;190644;45869;144775;144775;60884;31,93596442;42,05422207;5,1;9014;29254;27142;24660;45791;53944;64073;18;20;28,8;27;18,1
LANDES;2022;2;Rassemblement national;Extrême Droite;329376;73120;256256;256256;98682;29,96028855;38,5091471;6,875;16265;27946;40136;37900;78570;90598;113276;18;20;28,8;27;18,1
LOIRETCHER;2022;2;Rassemblement national;Extrême Droite;244640;58413;186227;186227;78434;32,06098757;42,11741584;5,975;12288;29269;33297;30511;57164;67817;84837;18;20;28,8;27;18,1
LOIRE;2022;2;Rassemblement national;Extrême Droite;513962;136870;377092;377092;149174;29,02432476;39,5590466;7,125;36044;30682;93472;79920;137243;145024;178372;18;20;28,8;27;18,1
HAUTELOIRE;2022;2;Rassemblement national;Extrême Droite;180716;41139;139577;139577;61980;34,29690786;44,40559691;5,6;8195;26151;23906;20766;40002;48287;57051;18;20;28,8;27;18,1
LOIREATLANTIQUE;2022;2;Rassemblement national;Extrême Droite;1057081;255271;801810;801810;221934;20,99498525;27,67912598;5,7;83328;40013;186579;178576;292411;269223;284053;18;20;28,8;27;18,1
LOIRET;2022;2;Rassemblement national;Extrême Droite;457763;115792;341971;341971;133331;29,12664414;38,9889786;7,075;31666;35512;81981;75614;127236;129397;144373;18;20;28,8;27;18,1
LOT;2022;2;Rassemblement national;Extrême Droite;139238;31406;107832;107832;38032;27,31438257;35,26967876;7,3;5991;27592;14932;14525;28357;38958;53568;18;20;28,8;27;18,1
LOTETGARONNE;2022;2;Rassemblement national;Extrême Droite;241312;58106;183206;183206;82619;34,23741878;45,09623047;7,425;13940;27852;33327;29763;55800;68420;90618;18;20;28,8;27;18,1
LOZERE;2022;2;Rassemblement national;Extrême Droite;59801;13099;46702;46702;18647;31,18175281;39,92762623;4,625;2465;27946;7863;7073;13346;16640;19768;18;20;28,8;27;18,1
MAINEETLOIRE;2022;2;Rassemblement national;Extrême Droite;589468;138502;450966;450966;138261;23,45521725;30,65885233;6,45;30023;31583;110347;88697;150980;153397;175654;18;20;28,8;27;18,1
MANCHE;2022;2;Rassemblement national;Extrême Droite;384662;91046;293616;293616;108294;28,15302785;36,88286742;5,075;15348;29811;49789;48042;85135;104232;128082;18;20;28,8;27;18,1
MARNE;2022;2;Rassemblement national;Extrême Droite;380766;99374;281392;281392;125046;32,84064228;44,43836356;7,1;29170;36958;73719;66976;103557;106962;116093;18;20;28,8;27;18,1
HAUTEMARNE;2022;2;Rassemblement national;Extrême Droite;129397;32607;96790;96790;50586;39,09364205;52,2636636;6,275;7176;28140;17304;17220;28406;35752;43892;18;20;28,8;27;18,1
