libellé_du_département;année;tour;parti;tendance_politique;inscrits;abstentions;votants;exprimés;voix;%_voix/ins;%_voix/exp;taux_de_chômage;incidents_de_délinquance;pib;18-24_ans;25-34_ans;35-49_ans;50-64_ans;65_ans_et_plus;moyenne_du_parti_18-24_ans;moyenne_du_parti_25-34_ans;moyenne_du_parti_35-49_ans;moyenne_du_parti_50-64_ans;moyenne_du_parti_65_ans_et_plus
PUYDEDOME;2007;1;Parti Socialiste;Gauche;443260;57492;385768;385768;111275;25,10377656;28,84505713;7,075;24555;22429;82488;77232;130373;125160;110998;29;24;25;29;20
PYRENEESATLANTIQUES;2007;1;Parti Socialiste;Gauche;474672;60849;413823;413823;107582;22,66449253;25,99710504;6,8;25679;21051;73292;73033;137543;124076;130686;29;24;25;29;20
HAUTESPYRENEES;2007;1;Parti Socialiste;Gauche;176279;23481;152798;152798;46510;26,38431123;30,43888009;8,325;8815;18327;23730;22741;47693;47702;50999;29;24;25;29;20
PYRENEESORIENTALES;2007;1;Parti Socialiste;Gauche;314769;47178;267591;267591;65486;20,80446296;24,47242247;10,5;30539;17180;47975;47582;87666;85299;95253;29;24;25;29;20
BASRHIN;2007;1;Parti Socialiste;Gauche;717337;121290;596047;596047;100233;13,97293044;16,81629133;6,525;48236;24515;148690;147258;241880;192021;159984;29;24;25;29;20
HAUTRHIN;2007;1;Parti Socialiste;Gauche;506877;86993;419884;419884;71050;14,01720733;16,92134018;7,775;30773;22264;90661;94715;167538;136275;114626;29;24;25;29;20
RHONE;2007;1;Parti Socialiste;Gauche;1037635;141181;896454;896454;211736;20,40563397;23,61928219;7,125;117348;30396;250402;238544;341708;281393;249110;29;24;25;29;20
HAUTESAONE;2007;1;Parti Socialiste;Gauche;179506;25635;153871;153871;35458;19,75310017;23,0439784;6,975;8058;16783;26093;27959;50099;46907;41705;29;24;25;29;20
SAONEETLOIRE;2007;1;Parti Socialiste;Gauche;408946;66679;342267;342267;86741;21,21086892;25,34308011;6,925;18539;18817;58596;58649;113749;112420;115797;29;24;25;29;20
SARTHE;2007;1;Parti Socialiste;Gauche;401328;60320;341008;341008;85077;21,19886975;24,94868156;6,925;20300;21264;67205;67061;114949;102330;100556;29;24;25;29;20
SAVOIE;2007;1;Parti Socialiste;Gauche;287948;39670;248278;248278;53447;18,56133746;21,52707852;5,9;26305;24072;49486;50157;89624;75512;65526;29;24;25;29;20
HAUTESAVOIE;2007;1;Parti Socialiste;Gauche;472822;68766;404056;404056;74808;15,82159883;18,51426535;5,225;34852;24048;82237;96348;165095;127590;96054;29;24;25;29;20
PARIS;2007;1;Parti Socialiste;Gauche;1221993;153719;1068274;1068274;336407;27,5293721;31,4907037;7,725;219265;67502;297879;424768;462740;383377;305131;29;24;25;29;20
SEINEMARITIME;2007;1;Parti Socialiste;Gauche;873585;144633;728952;728952;186140;21,30760029;25,53528902;8,525;64802;23197;173348;156725;255554;228279;197448;29;24;25;29;20
SEINEETMARNE;2007;1;Parti Socialiste;Gauche;802133;117182;684951;684951;161002;20,07173374;23,50562303;5,975;79407;20280;179534;175501;290835;225851;142786;29;24;25;29;20
YVELINES;2007;1;Parti Socialiste;Gauche;894380;112496;781884;781884;178943;20,00749122;22,88613145;5,8;79921;27211;182845;188829;308738;253818;176962;29;24;25;29;20
DEUXSEVRES;2007;1;Parti Socialiste;Gauche;269277;34999;234278;234278;77655;28,83833376;33,14651824;5,6;11860;20300;39514;41468;76488;69292;71896;29;24;25;29;20
SOMME;2007;1;Parti Socialiste;Gauche;410269;64372;345897;345897;84835;20,6778967;24,52608725;9,375;27688;19457;78709;71847;116639;104153;89449;29;24;25;29;20
TARN;2007;1;Parti Socialiste;Gauche;276354;32012;244342;244342;70425;25,48361884;28,82230644;8,65;13144;17025;38778;39172;76323;72981;80369;29;24;25;29;20
TARNETGARONNE;2007;1;Parti Socialiste;Gauche;165833;19865;145968;145968;38503;23,21793612;26,37769922;8,475;10222;17428;24564;26556;49517;44235;44344;29;24;25;29;20
VAR;2007;1;Parti Socialiste;Gauche;716795;118514;598281;598281;110659;15,43802621;18,49615816;9,025;58684;18902;110611;105992;204062;199886;210004;29;24;25;29;20
VAUCLUSE;2007;1;Parti Socialiste;Gauche;370625;54432;316193;316193;66955;18,06543002;21,17535809;9,6;31922;20281;64496;62355;113146;103789;94609;29;24;25;29;20
VENDEE;2007;1;Parti Socialiste;Gauche;464249;55099;409150;409150;87244;18,79250144;21,32323109;5,65;20258;19781;66151;72013;124202;117200;118073;29;24;25;29;20
VIENNE;2007;1;Parti Socialiste;Gauche;299185;42567;256618;256618;73633;24,61119374;28,69362243;6,725;14565;20139;60912;51362;84001;78054;76776;29;24;25;29;20
HAUTEVIENNE;2007;1;Parti Socialiste;Gauche;265865;35189;230676;230676;71025;26,71468602;30,78993914;6,75;12636;21494;45548;43112;74375;74323;77402;29;24;25;29;20
VOSGES;2007;1;Parti Socialiste;Gauche;288720;43384;245336;245336;54882;19,00872818;22,37013728;8,55;12497;19733;44141;43168;80120;74661;69198;29;24;25;29;20
YONNE;2007;1;Parti Socialiste;Gauche;245539;39805;205734;205734;42014;17,11092739;20,42151516;7,1;15933;19245;37296;37622;70043;67905;67060;29;24;25;29;20
TERRITOIREDEBELFORT;2007;1;Parti Socialiste;Gauche;93779;14698;79081;79081;19471;20,76264409;24,62159052;9,075;4421;20862;19187;18669;30010;26176;21081;29;24;25;29;20
ESSONNE;2007;1;Parti Socialiste;Gauche;742932;96023;646909;646909;174519;23,49057518;26,97736467;5,5;69071;23460;163375;165700;268524;208592;146390;29;24;25;29;20
HAUTSDESEINE;2007;1;Parti Socialiste;Gauche;904665;118158;786507;786507;202149;22,3451775;25,70212344;6,575;92872;62244;189434;258941;340047;253358;203834;29;24;25;29;20
